query_category,query_text,wb_id,product_name,brand,price_rub,price_original_rub,discount_pct,rating,reviews_count,category,pack_size,url,source
Чай,чай габа,77017086,Габа Фермерская 100 грамм PREMIUM,RE:FOOD,,,,4.8,3791,Чай,100 г,https://www.wildberries.ru/catalog/77017086/detail.aspx,wildberries
Чай,чай габа,547138865,Габа чай фермерский китайский цитрус 100 гр,RE:FOOD,,,,4.8,3791,Чай,100 г,https://www.wildberries.ru/catalog/547138865/detail.aspx,wildberries
Чай,чай габа,277259521,"Медовый Габа Улун, 50гр",Dragon leaf,,,,4.8,154,Чай,50 г,https://www.wildberries.ru/catalog/277259521/detail.aspx,wildberries
Чай,чай габа,197848015,"Китайский чай Габа Алишань, улун 100 г",chá chuántǒng,,,,4.8,290,Чай,100 г,https://www.wildberries.ru/catalog/197848015/detail.aspx,wildberries
Чай,чай габа,719952034,"Габа чай ""Малина"" 30 грамм",Дом 31,,,,4.6,61,Чай,30 г,https://www.wildberries.ru/catalog/719952034/detail.aspx,wildberries
Чай,чай габа,228877151,"Премиальный фермерский чай ""Красная габа"" из Сочи, 40 г",Черноморский чай,,,,4.9,35,Чай,40 г,https://www.wildberries.ru/catalog/228877151/detail.aspx,wildberries
Чай,чай габа,533265960,"ГАБА с яблоком и карамелью, китайский чай улун ГАМК, 100 г",Mute,,,,4.8,4523,Чай,100 г,https://www.wildberries.ru/catalog/533265960/detail.aspx,wildberries
Чай,чай габа,778489283,Чай габа барбарис,Дом 31,,,,5.0,11,Чай,,https://www.wildberries.ru/catalog/778489283/detail.aspx,wildberries
Чай,чай габа,77023025,Габа Алишань 100 грамм PREMIUM,RE:FOOD,,,,4.8,3791,Чай,100 г,https://www.wildberries.ru/catalog/77023025/detail.aspx,wildberries
Чай,чай габа,326949254,Габа тайваньский улун чай 50 гр,Китайский чай у Царицы,,,,4.6,94,Чай,50 г,https://www.wildberries.ru/catalog/326949254/detail.aspx,wildberries
Чай,чай габа,105095886,"Улун Габа Фермерская, 25г",TEA CAT,,,,4.6,11,Чай,25 г,https://www.wildberries.ru/catalog/105095886/detail.aspx,wildberries
Чай,чай габа,740379185,"Китайский чай Шу пуэр по технологии Габа сорт ""Цзинь я"" прем…",iTEA,,,,4.8,93,Чай,,https://www.wildberries.ru/catalog/740379185/detail.aspx,wildberries
Чай,чай габа,19288887,"Чай Улун Габа Фермерская, 100 гр",CEREMONY TEA,,,,4.8,462,Чай,100 г,https://www.wildberries.ru/catalog/19288887/detail.aspx,wildberries
Чай,чай габа,238436815,Чай Улун Габа Фермерская,Highland,,,,4.9,145,Чай,,https://www.wildberries.ru/catalog/238436815/detail.aspx,wildberries
